k,eval_avg_p,eval_avg_r,eval_avg_f,conll_md_p,conll_md_r,conll_md_f,conll_muc_p,conll_muc_r,conll_muc_f,conll_bcub_p,conll_bcub_r,conll_bcub_f,conll_ceafe_p,conll_ceafe_r,conll_ceafe_f,conll_avg_f
68,99.13,98.39,98.76,100.0,99.92,99.96,99.95,99.88,99.92,99.71,99.63,99.67,99.9,99.79,99.84,99.8100
69,99.15,98.41,98.78,100.0,99.92,99.96,99.95,99.88,99.92,99.71,99.63,99.67,99.9,99.79,99.84,99.8100
70,99.16,98.43,98.79,100.0,99.92,99.96,99.95,99.88,99.92,99.71,99.63,99.67,99.9,99.79,99.84,99.8100
71,99.17,98.45,98.81,100.0,99.92,99.96,99.95,99.88,99.92,99.71,99.63,99.67,99.9,99.79,99.84,99.8100
72,99.17,98.47,98.82,100.0,99.93,99.96,99.95,99.9,99.92,99.71,99.66,99.68,99.92,99.81,99.87,99.8233
73,99.18,98.49,98.83,100.0,99.93,99.96,99.95,99.9,99.92,99.71,99.66,99.68,99.92,99.81,99.87,99.8233
74,99.19,98.50,98.85,100.0,99.93,99.96,99.95,99.9,99.92,99.71,99.66,99.68,99.92,99.81,99.87,99.8233
75,99.20,98.52,98.86,100.0,99.93,99.96,99.95,99.9,99.92,99.71,99.66,99.68,99.92,99.81,99.87,99.8233
76,99.21,98.54,98.87,100.0,99.93,99.96,99.95,99.9,99.92,99.71,99.66,99.68,99.92,99.81,99.87,99.8233
77,99.22,98.55,98.89,100.0,99.93,99.96,99.95,99.9,99.92,99.71,99.66,99.68,99.92,99.81,99.87,99.8233
78,99.23,98.57,98.90,100.0,99.93,99.96,99.95,99.9,99.92,99.71,99.66,99.68,99.92,99.81,99.87,99.8233
79,99.24,98.59,98.91,100.0,99.93,99.96,99.96,99.9,99.93,99.73,99.67,99.7,99.93,99.84,99.88,99.8367
80,99.24,98.60,98.92,100.0,99.93,99.96,99.96,99.9,99.93,99.73,99.67,99.7,99.93,99.84,99.88,99.8367
81,99.25,98.62,98.93,100.0,99.93,99.96,99.96,99.9,99.93,99.73,99.67,99.7,99.93,99.84,99.88,99.8367
82,99.26,98.63,98.94,100.0,99.93,99.96,99.96,99.9,99.93,99.73,99.67,99.7,99.93,99.84,99.88,99.8367
83,99.27,98.64,98.95,100.0,99.93,99.96,99.96,99.9,99.93,99.73,99.67,99.7,99.93,99.84,99.88,99.8367
84,99.27,98.66,98.97,100.0,99.93,99.96,99.96,99.9,99.93,99.73,99.67,99.7,99.93,99.84,99.88,99.8367
85,99.28,98.67,98.98,100.0,99.93,99.96,99.96,99.9,99.93,99.73,99.67,99.7,99.93,99.84,99.88,99.8367
86,99.29,98.68,98.99,100.0,99.94,99.97,99.96,99.91,99.93,99.73,99.68,99.7,99.93,99.84,99.88,99.8367
87,99.30,98.70,99.00,100.0,99.94,99.97,99.96,99.92,99.94,99.74,99.71,99.72,99.93,99.85,99.89,99.8500
88,99.30,98.71,99.01,100.0,99.94,99.97,99.97,99.92,99.95,99.75,99.71,99.73,99.94,99.87,99.91,99.8633
89,99.31,98.72,99.02,100.0,99.95,99.97,99.98,99.93,99.95,99.76,99.72,99.74,99.94,99.9,99.92,99.8700
90,99.32,98.74,99.03,100.0,99.95,99.97,99.98,99.93,99.95,99.76,99.72,99.74,99.94,99.9,99.92,99.8700
91,99.32,98.75,99.03,100.0,99.95,99.97,99.98,99.93,99.95,99.76,99.72,99.74,99.94,99.9,99.92,99.8700
92,99.33,98.76,99.04,100.0,99.95,99.97,99.98,99.93,99.95,99.76,99.72,99.74,99.94,99.9,99.92,99.8700
93,99.33,98.77,99.05,100.0,99.95,99.97,99.98,99.93,99.95,99.76,99.72,99.74,99.94,99.9,99.92,99.8700
94,99.34,98.78,99.06,100.0,99.95,99.97,99.98,99.93,99.95,99.76,99.72,99.74,99.94,99.9,99.92,99.8700
95,99.35,98.80,99.07,100.0,99.95,99.97,99.98,99.94,99.96,99.78,99.73,99.76,99.95,99.9,99.93,99.8833
96,99.35,98.81,99.08,100.0,99.95,99.97,99.98,99.94,99.96,99.78,99.74,99.76,99.95,99.91,99.93,99.8833
